级别,名称,别名,道具类型,文字介绍ID,基准价格,重量,速度(1-5),唯一,等级限制,力量限制,敏捷限制,体质限制,攻击力小,攻击力大,防御力小,防御力大,耐久度小,耐久度大,最小特性数,最大特性数,抽取特性类型1,类型1概率,抽取特性类型2,类型2概率,抽取特性类型3,类型3概率,抽取特性类型4,类型4概率,抽取特性类型5,类型5概率,道具栏图片ID,地面图片ID,游侠,力士,刺客,术士,巫师,名称ID,五行属性,五行攻击,五行攻击MAX,五行防御,五行防御MAX,相生特性,镶嵌宝石数量,相生属性出现几率,五行属性出现几率
1,琥珀,hupo,0,222,100,1,,,1,,,,,,,,,,0,0,,,Ugem1_1,100,,,,,,,3520,weapon_sword_ancient_angel_new,,,,,,1,1,4,8,24,32,,,0,100
3,田黄石,tianhuangshi,0,213,300,1,,,9,,,,,,,,,,0,0,,,Ugem1_2,100,,,,,,,3520,weapon_sword_ancient_angel_new,,,,,,2,1,6,12,38,48,,,0,100
5,青金石,qingjinshi,0,201,800,1,,,17,,,,,,,,,,0,0,,,Ugem1_3,100,,,,,,,3520,weapon_sword_ancient_angel_new,,,,,,3,1,8,16,52,68,,,0,100
7,锆石,gaoshi,0,211,2100,1,,,25,,,,,,,,,,0,0,,,Ugem1_4,100,,,,,,,3520,weapon_sword_ancient_angel_new,,,,,,4,1,11,22,72,92,,,0,100
9,虎睛石,hujingshi,0,220,5500,1,,,33,,,,,,,,,,0,0,,,Ugem1_5,100,,,,,,,3520,weapon_sword_ancient_angel_new,,,,,,5,1,15,30,96,120,,,0,100
9,虎睛石,hujingshi,0,220,5500,1,,,33,,,,,,,,,,0,0,,,Ugem1_5,100,,,,,,,3520,weapon_sword_ancient_angel_new,,,,,,5,1,15,30,96,120,,,0,100
9,虎睛石,hujingshi,0,220,5500,1,,,33,,,,,,,,,,0,0,,,Ugem1_5,100,,,,,,,3520,weapon_sword_ancient_angel_new,,,,,,5,1,15,30,96,120,,,0,100
1,黑绿玉 ,heiluyu,0,206,100,1,,,1,,,,,,,,,,0,0,,,Ugem2_1,100,,,,,,,3521,weapon_sword_ancient_angel_new,,,,,,6,2,4,8,24,32,,,0,100
3,翡翠,feicui,0,203,300,1,,,9,,,,,,,,,,0,0,,,Ugem2_2,100,,,,,,,3521,weapon_sword_ancient_angel_new,,,,,,7,2,6,12,38,48,,,0,100
5,绿松石,lusongshi,0,200,800,1,,,17,,,,,,,,,,0,0,,,Ugem2_3,100,,,,,,,3521,weapon_sword_ancient_angel_new,,,,,,8,2,8,16,52,68,,,0,100
7,木变石,mubianshi,0,212,2100,1,,,25,,,,,,,,,,0,0,,,Ugem2_4,100,,,,,,,3521,weapon_sword_ancient_angel_new,,,,,,9,2,11,22,72,92,,,0,100
9,橄榄石,ganlanshi,0,214,5500,1,,,33,,,,,,,,,,0,0,,,Ugem2_5,100,,,,,,,3521,weapon_sword_ancient_angel_new,,,,,,10,2,15,30,96,120,,,0,100
9,橄榄石,ganlanshi,0,214,5500,1,,,33,,,,,,,,,,0,0,,,Ugem2_5,100,,,,,,,3521,weapon_sword_ancient_angel_new,,,,,,10,2,15,30,96,120,,,0,100
9,橄榄石,ganlanshi,0,214,5500,1,,,33,,,,,,,,,,0,0,,,Ugem2_5,100,,,,,,,3521,weapon_sword_ancient_angel_new,,,,,,10,2,15,30,96,120,,,0,100
