SpecialAttributeID,AttributeLevel,FeatureExtractionProbability,WhetherTheInfluenceLevelLimit,SimpleDescription,ShortKnifeType07,LongKnifeType08,DaggerTypes09,SwordType10,BowType11,CrossbowType12,ArrowTypes13,VectorType14,LongRodType15,TheWandType16,ScepterType17,LongGeType18,SpearType19,SocialType20,HatchetType21,ShortGeType22,ShortStickType23,ShortHammerType24,HelmetType25,ArmorType26,ShieldType27,BootsType28,NecklaceType29,RingType30,WristType31,BeltType32,AttributeID,IfPer,ModifiedValue1MIN,ModifiedValue1MAX,ModifiedValue2MIN,ModifiedValue2MAX,ModifiedValue3MIN,ModifiedValue3MAX,ModifiedValue4MIN,ModifiedValue4MAX,ModifiedValue5MIN,ModifiedValue5MAX,ModifiedValue6MIN,ModifiedValue6MAX,ModifiedValue7MIN,ModifiedValue7MAX,ModifiedValue8MIN,ModifiedValue8MAX,ModifiedValue9MIN,ModifiedValue9MAX,PriceCorrectionRate,SubAttribute1,SubAttribute2,SubAttribute3,SubAttribute4,SubAttribute5,GemType0,TypeOfWood1,OreTypes2,AnimalBoneType3,SkinType4,AnimalTendonType5,MitreTypes33,RobeType34,WhetherTheGoldProperty
特种属性ID,属性等级,特性抽取几率,是否影响等级限制,简单描述,短刀类型07,长刀类型08,短剑类型09,长剑类型10,弓类型11,弩类型12,箭类型13,矢类型14,长杖类型15,法杖类型16,权杖类型17,长戈类型18,枪矛类型19,斧钺类型20,短斧类型21,短戈类型22,短棒类型23,短锤类型24,头盔类型25,盔甲类型26,盾牌类型27,靴子类型28,项链类型29,戒指类型30,护腕类型31,腰带类型32,属性ID,是否为百分比,修正值1 MIN,修正值1 MAX,修正值2 MIN,修正值2 MAX,修正值3 MIN,修正值3 MAX,修正值4 MIN,修正值4 MAX,修正值5 MIN,修正值5 MAX,修正值6 MIN,修正值6 MAX,修正值7 MIN,修正值7 MAX,修正值8 MIN,修正值8 MAX,修正值9 MIN,修正值9 MAX,价格修正率,子属性1,子属性2,子属性3,子属性4,子属性5,宝石类型0,木材类型1,矿石类型2,兽骨类型3,兽皮类型4,兽筋类型5,法冠类型33,法袍类型34,是否为金色属性
独立U属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
组合U属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不可用的属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基本属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uhpmax_300,1,100,,增加生命最大值,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thpmax_300,,,,,,,,,,,,,
Uhpmax_200,1,100,,,,,,,,,,,,,,1,1,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Thpmax_200,,,,,,,,,,,,1,
Uhpmax_150,1,100,,,1,1,1,1,1,1,,,1,1,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,Thpmax_150,,,,,,,,1,1,,1,,
